type,value,confidence,first_seen,last_seen,source_count,sources,reason
domain,coder-infra.com,high,2026-09-03T20:42:31+00:00,2026-09-04T00:48:18.053876+00:00,2,github.com:2026-09-04|Bleepingcomputer:2026-09-03,Identified as an untrusted domain for outbound traffic in the context of potential data loss.
domain,veruisuealx.xyz,high,2026-09-03T11:31:52.443490+00:00,2026-09-03T11:31:52.443490+00:00,1,www.guidepointsecurity.com:2026-09-03,[article sweep] Used in a ClickFix invocation for malicious activity
domain,datalayerservice.com,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed under C&C infrastructure in the article
domain,docs.datalayerservice.com,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed under C&C infrastructure in the article
domain,resources.datalayerservice.com,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed under C&C infrastructure in the article
ipv4,144.31.53.78,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed as a network indicator in the article
ipv4,178.16.54.253,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed as a network indicator in the article
ipv4,193.58.122.42,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed as a network indicator in the article
ipv4,198.13.159.44,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed as a network indicator in the article
ipv4,199.91.221.42,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed as a network indicator in the article
ipv4,45.158.196.23,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed as a network indicator in the article
ipv4,185.254.222.105,high,2026-09-01T00:33:21+00:00,2026-09-03T02:00:03+00:00,1,Isc.Sans.Edu:2026-09-03,IP address used as a source for malicious email activity
domain,idoej.com,high,2026-09-02T19:03:22+00:00,2026-09-02T19:03:22+00:00,1,Itsecurityguru:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
ipv4,176.65.148.184,high,2026-09-01T22:29:26+00:00,2026-09-02T13:19:54+00:00,3,Helpnetsecurity:2026-09-02|Thehackernews:2026-09-02|Horizon3.Ai:2026-09-01,[article sweep] Identified as the attacker's IP used in a honeypot exploitation attempt
domain,advancedplacyncement.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,arandasoftzfdware.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,avisoretentiunionllc.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,capitalflwxinancialpartners.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,certififiycationedge.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,connectivnqzityltd.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,digitaltrafwwrficsystems.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,exceltecbusinessbwpsolutions.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,genamewwgdiamarketing.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,globaieflsoftinc.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,globalmixeucbdmodetechnologyinc.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,globalprojectspvtltd.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,joinbusinessmanagementconsdjeulting.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,kentmanqhfufacturingcompany.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,kleepxrnlinecorporation.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,knsinternacshtional.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,monttmmlrustcompany.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,mtprormtductions.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,realestatecotblrp.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,summitcapitaltrapojininggroup.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,techcompositnkoes.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,techromixsolutionlonsinc.vu,high,2026-09-02T12:53:51+00:00,2026-09-02T12:53:51+00:00,1,Huntress:2026-09-02,Domain with typosquatting characteristics likely registered by attacker
domain,pc-razerzone.com.cn,high,2026-09-01T22:48:28+00:00,2026-09-01T22:48:28+00:00,1,Blogs.Microsoft:2026-09-01,Identified as a spoofed domain used in phishing campaign
ipv4,206.238.196.96,high,2026-09-01T19:09:37+00:00,2026-09-01T19:09:37+00:00,1,Socprime:2026-09-01,Explicitly identified as a hardcoded C2 IP for the PackClient RAT.
domain,us05.org,high,2026-09-01T12:13:57+00:00,2026-09-01T12:13:57+00:00,1,Huntress:2026-09-01,Used for delivery infrastructure and redirects in the attack
domain,co1nbase.com,high,2026-09-01T11:55:33+00:00,2026-09-01T11:55:33+00:00,1,Privateinternetaccess:2026-09-01,[article sweep] Identified as a typosquatted domain impersonating Coinbase
domain,coinbase-security.com,high,2026-09-01T11:55:33+00:00,2026-09-01T11:55:33+00:00,1,Privateinternetaccess:2026-09-01,[article sweep] Identified as a domain impersonating Coinbase
domain,dosportal.app,high,2026-08-31T18:26:30+00:00,2026-08-31T18:26:30+00:00,1,Socprime:2026-08-31,[article sweep] Domain used in an OAuth phishing campaign
domain,js-mirror.com,high,2026-08-31T13:05:38.820639+00:00,2026-08-31T13:05:38.820639+00:00,1,www.chainguard.dev:2026-08-31,[article sweep] Domain used for suspicious outbound traffic
domain,npm-cache.com,high,2026-08-31T13:05:38.820639+00:00,2026-08-31T13:05:38.820639+00:00,1,www.chainguard.dev:2026-08-31,[article sweep] Domain used in a supply chain attack
domain,pypi-get.com,high,2026-08-31T13:05:38.820639+00:00,2026-08-31T13:05:38.820639+00:00,1,www.chainguard.dev:2026-08-31,[article sweep] Domain used in a supply chain attack
domain,fine-work-team.com,high,2026-08-31T12:34:31.263942+00:00,2026-08-31T12:34:31.263942+00:00,1,hunt.io:2026-08-31,Listed as a delivery URL for a malicious script
domain,timelevel12.com,high,2026-08-31T12:34:31.263942+00:00,2026-08-31T12:34:31.263942+00:00,1,hunt.io:2026-08-31,Listed as a delivery URL for a malicious script
domain,san-sid.com,high,2026-08-31T10:00:36+00:00,2026-08-31T10:00:36+00:00,1,Unit42.Paloaltonetworks:2026-08-31,Domain hosting obfuscated PowerShell payload used as RAT dropper
ipv4,31.58.209.241,high,2026-08-30T20:09:53+00:00,2026-08-30T20:09:53+00:00,1,Pasqualepillitteri.It:2026-08-30,IP address hosting stolen data and offensive tools
domain,mychart-epic.com,high,2026-08-29T18:03:32.277709+00:00,2026-08-29T18:03:32.277709+00:00,1,www.mychart.org:2026-08-29,"Domain used for phishing, mimicking MyChart; attacker-controlled infrastructure."
domain,my-chart.org,high,2026-08-29T18:03:32.277709+00:00,2026-08-29T18:03:32.277709+00:00,1,www.mychart.org:2026-08-29,"Domain used for phishing, mimicking MyChart; attacker-controlled infrastructure."
domain,nuihuw.top,high,2026-08-26T10:37:36+00:00,2026-08-28T11:38:54+00:00,2,Socprime:2026-08-28|Acronis:2026-08-26,Listed as a backup C2 server in the decrypted configuration
domain,exessupdate.info,high,2026-08-28T03:24:16+00:00,2026-08-28T03:24:16+00:00,1,Cyfirma:2026-08-28,[article sweep] Listed as part of campaign infrastructure in a YARA rule
domain,greezupdto.info,high,2026-08-28T03:24:16+00:00,2026-08-28T03:24:16+00:00,1,Cyfirma:2026-08-28,[article sweep] Listed as part of campaign infrastructure in a YARA rule
domain,hillisolutions.info,high,2026-08-28T03:24:16+00:00,2026-08-28T03:24:16+00:00,1,Cyfirma:2026-08-28,[article sweep] Listed as part of campaign infrastructure in a YARA rule
