type,value,confidence,first_seen,last_seen,source_count,sources,reason
domain,exessupdate.info,high,2026-08-28T03:24:16+00:00,2026-08-28T03:24:16+00:00,1,,[article sweep] Listed as part of campaign infrastructure in a YARA rule
domain,greezupdto.info,high,2026-08-28T03:24:16+00:00,2026-08-28T03:24:16+00:00,1,,[article sweep] Listed as part of campaign infrastructure in a YARA rule
domain,hillisolutions.info,high,2026-08-28T03:24:16+00:00,2026-08-28T03:24:16+00:00,1,,[article sweep] Listed as part of campaign infrastructure in a YARA rule
domain,makerolleds.info,high,2026-08-28T03:24:16+00:00,2026-08-28T03:24:16+00:00,1,,[article sweep] Listed as part of campaign infrastructure in a YARA rule
domain,programgreedz.info,high,2026-08-28T03:24:16+00:00,2026-08-28T03:24:16+00:00,1,,[article sweep] Listed as part of campaign infrastructure in a YARA rule
domain,reggyupdated.info,high,2026-08-28T03:24:16+00:00,2026-08-28T03:24:16+00:00,1,,[article sweep] Listed as part of campaign infrastructure in a YARA rule
domain,mychart-epic.com,high,2026-08-24T16:35:14.982407+00:00,2026-08-27T23:05:32.658708+00:00,1,,"Domain used for phishing, mimicking MyChart; attacker-controlled infrastructure."
domain,my-chart.org,high,2026-08-24T16:35:14.982407+00:00,2026-08-27T23:05:32.658708+00:00,1,,"Domain used for phishing, mimicking MyChart; attacker-controlled infrastructure."
domain,crpx0.su,high,2026-08-27T21:32:24.332810+00:00,2026-08-27T21:32:24.332810+00:00,1,,[article sweep] Identified as hosting a panel for a ransomware group
domain,flash-token.shop,high,2026-08-27T21:32:24.332810+00:00,2026-08-27T21:32:24.332810+00:00,1,,[article sweep] Identified as a scam service domain
domain,instantmessagehub.tech,high,2026-08-26T20:18:54.083342+00:00,2026-08-27T17:12:48.782680+00:00,1,,Listed as a core infrastructure element for Fast Labyrinth
domain,jump.qt-proxy.org,high,2026-08-26T20:18:54.083342+00:00,2026-08-27T17:12:48.782680+00:00,1,,Listed as an active operational jump box for Fast Labyrinth
domain,mq-result-qt-team.com,high,2026-08-27T17:12:48.782680+00:00,2026-08-27T17:12:48.782680+00:00,1,,"[article sweep] Listed as part of QScan backend infrastructure, mapped to a specific IP"
domain,mq-task-qt-team.com,high,2026-08-27T17:12:48.782680+00:00,2026-08-27T17:12:48.782680+00:00,1,,"[article sweep] Listed as part of QScan broker infrastructure, mapped to a specific IP"
domain,qt-proxy.org,high,2026-08-26T20:18:54.083342+00:00,2026-08-26T20:18:54.083342+00:00,1,,Active infrastructure element for Fast Labyrinth
domain,qtproxy.xyz,high,2026-08-26T20:18:54.083342+00:00,2026-08-26T20:18:54.083342+00:00,1,,Primary administrative domain for proxy orchestration
domain,qt-team.com,high,2026-08-26T20:18:54.083342+00:00,2026-08-26T20:18:54.083342+00:00,1,,Legacy assets replaced by qt-proxy.org
domain,cryptoprice.pw,high,2026-08-26T17:39:45+00:00,2026-08-26T17:39:45+00:00,1,,Listed as a service advertised by the actor for scams and malware delivery
domain,databreach.space,high,2026-08-26T17:39:45+00:00,2026-08-26T17:39:45+00:00,1,,Identified as an earlier version of the actor’s ransomware blog
domain,socialposter.org,high,2026-08-26T17:39:45+00:00,2026-08-26T17:39:45+00:00,1,,Registered by the threat actor and associated with cybercrime activity
domain,lkvb06fkzsjv.org,high,2026-08-26T15:13:00+00:00,2026-08-26T15:13:00+00:00,1,,"Randomly generated domain used in synthetic data injection, likely attacker-controlled."
domain,case-apple.com,high,2026-08-21T14:51:21+00:00,2026-08-21T14:51:21+00:00,1,,[article sweep] Used in phishing scams impersonating Apple
domain,chat-apple.com,high,2026-08-21T14:51:21+00:00,2026-08-21T14:51:21+00:00,1,,[article sweep] Used in phishing scams impersonating Apple
domain,drive.google.verify-drive.com,high,2026-08-21T00:32:07.289805+00:00,2026-08-21T00:32:07.289805+00:00,1,,Identified as a malware distribution domain.
domain,miov2iaiaoubqosiqoiajwowiwjso.online,high,2026-08-21T00:32:07.289805+00:00,2026-08-21T00:32:07.289805+00:00,1,,C2 for AtomicStealer identified.
domain,spyroid.net,high,2026-08-19T09:52:51+00:00,2026-08-19T09:52:51+00:00,1,,Identified as a commercial RAT framework sold to cybercriminals.
domain,gigapaper.ir,high,2026-08-18T17:54:40+00:00,2026-08-18T17:54:40+00:00,1,,"[article sweep] Used to sell stolen academic data, controlled by attackers"
domain,megapaper.ir,high,2026-08-18T17:54:40+00:00,2026-08-18T17:54:40+00:00,1,,[article sweep] Used to sell stolen academic resources
domain,bookcheckarrival-gueststayhotel.com,high,2026-08-13T06:24:31+00:00,2026-08-13T06:24:31+00:00,1,,Indicates attacker-controlled phishing domain targeting hotel reservations.
domain,ccleanerwind.top,high,2026-08-12T10:20:02+00:00,2026-08-12T11:31:38+00:00,2,,Identified as attacker-controlled domain for malware distribution
domain,m.studiotikva.com,high,2026-08-11T10:00:19+00:00,2026-08-11T10:00:19+00:00,1,,[article sweep] Used for DNS A-record queries in C2 communication
domain,login.microsoft-secure-portal.com,high,2026-08-08T03:49:43.525813+00:00,2026-08-08T03:49:43.525813+00:00,1,,Clearly identified as an attacker-controlled domain.
domain,tommysbakescodes.ws,high,2026-08-06T18:48:08+00:00,2026-08-06T18:48:08+00:00,1,,[article sweep] Listed in a YARA rule as part of C2/network communication
domain,www1.planetink.com,high,2026-08-06T18:48:08+00:00,2026-08-06T18:48:08+00:00,1,,[article sweep] Listed as part of Lazarus-related supply chain campaign artifacts
domain,www2.planetink.com,high,2026-08-06T18:48:08+00:00,2026-08-06T18:48:08+00:00,1,,[article sweep] Listed as part of Lazarus-related supply chain campaign artifacts
domain,zimbra.planetink.com,high,2026-08-06T18:48:08+00:00,2026-08-06T18:48:08+00:00,1,,[article sweep] Listed in a rule for detecting Lazarus-related supply chain campaign artifacts
domain,zmail.vetstarts.com,high,2026-08-06T18:48:08+00:00,2026-08-06T18:48:08+00:00,1,,[article sweep] Listed in a rule for detecting Lazarus-related supply chain campaign artifacts
domain,deltaode.com,high,2026-08-05T12:14:01+00:00,2026-08-05T12:14:01+00:00,1,,[article sweep] Identified as part of a C2 infrastructure for a campaign
domain,microsoft-login.secure-verify.net,high,2026-08-03T13:40:21+00:00,2026-08-03T13:40:21+00:00,1,,[article sweep] Described as a phishing domain impersonating Microsoft
domain,xfconnect.com,high,2026-07-29T18:06:50+00:00,2026-07-29T18:06:50+00:00,1,,Pointed to as hosting multiple FCN binaries related to Chanming's product
domain,login.trees4sale.net,high,2026-07-29T10:33:04+00:00,2026-07-29T10:33:04+00:00,1,,identified as Dysphoria infrastructure domain
domain,businessmixture.com,high,2026-07-28T08:00:20+00:00,2026-07-28T08:00:20+00:00,1,,"[article sweep] Communicates with malware over WSS, indicating attacker control"
domain,re2.filesdwnload.top,high,2026-07-28T05:26:30+00:00,2026-07-28T05:26:30+00:00,1,,Listed as C2 server deploying tools.
domain,re8.dowlfles.online,high,2026-07-28T05:26:30+00:00,2026-07-28T05:26:30+00:00,1,,Listed as C2 server deploying tools.
domain,update19.upldf.online,high,2026-07-28T05:26:30+00:00,2026-07-28T05:26:30+00:00,1,,Listed as C2 server deploying tools.
domain,xeds.geranteeg.online,high,2026-07-28T05:26:30+00:00,2026-07-28T05:26:30+00:00,1,,Listed as C2 server deploying tools.
domain,googie.us-gmeet.com,high,2026-07-27T05:18:43+00:00,2026-07-27T05:18:43+00:00,1,,[article sweep] Suspicious lookalike domain likely used for phishing
domain,corepack.org,high,2026-07-26T20:14:00+00:00,2026-07-26T20:14:00+00:00,1,,[article sweep] Identified as a fake website distributing malware
domain,claude.ai.download-app.us,high,2026-07-22T20:08:20+00:00,2026-07-25T01:04:41.598641+00:00,2,,Redirects users to malicious content.
domain,docs.goog1e.com,high,2026-07-24T17:38:33.825555+00:00,2026-07-24T17:38:33.825555+00:00,1,,[article sweep] Typosquat of a legitimate domain likely used for phishing
domain,goog1e.com,high,2026-07-24T17:38:33.825555+00:00,2026-07-24T17:38:33.825555+00:00,1,,Identified as a typosquatted domain mimicking Google.
domain,zhblz.com,high,2026-07-24T17:38:33.825555+00:00,2026-07-24T17:38:33.825555+00:00,1,,Identified as a domain used in an attack.
domain,claude-pro.com,high,2026-07-23T14:16:44+00:00,2026-07-24T11:24:08.687591+00:00,2,,"Phishing site impersonating Claude AI, likely attacker-controlled."
domain,8e8a88f8fc968996eed0d7ddd.6ceca998199c18f8d968889898896899789978997.westurn.in,high,2026-07-23T12:19:54.088909+00:00,2026-07-23T12:19:54.088909+00:00,1,,Identified as C2 server used by TrickBot
domain,mskmde.com,high,2026-07-23T08:08:37.998373+00:00,2026-07-23T08:08:37.998373+00:00,1,,Used as malware delivery.
domain,tracking.adsafety.net,high,2026-07-23T08:02:59.893399+00:00,2026-07-23T08:02:59.893399+00:00,1,,"Used for tracking before consent, indicating potential malicious use."
domain,downloading-api.it,high,2026-07-22T20:08:20+00:00,2026-07-22T20:08:20+00:00,1,,[article sweep] Used to serve a malicious executable in a phishing campaign
domain,dwbud.vilaribit.com,high,2026-07-22T16:17:23.678778+00:00,2026-07-22T16:17:23.678778+00:00,1,,Identified as associated domain with exfiltration code.
domain,gobf.mx,high,2026-07-20T15:43:55+00:00,2026-07-20T15:43:55+00:00,1,,Identified as C2 server in context.
domain,evil.com,high,2026-07-17T18:47:17.820605+00:00,2026-07-17T18:47:17.820605+00:00,1,,Clearly identified as an exfiltration vector for data
domain,my-salesforce-cms.com,high,2026-07-17T18:47:17.820605+00:00,2026-07-17T18:47:17.820605+00:00,1,,"Registered by researchers to demonstrate data leak, indicating attacker control"
domain,vniir-avia.space,high,2026-07-07T11:06:29+00:00,2026-07-07T12:30:50+00:00,1,,"Freshly registered spoof domain used for phishing, identified as attacker-controlled"
domain,careldutoit-el.co,high,2026-07-04T14:02:28.678186+00:00,2026-07-04T14:02:28.678186+00:00,1,,[article sweep] Listed as a phishing domain in a threat report
domain,eqfit.co,high,2026-07-04T14:02:28.678186+00:00,2026-07-04T14:02:28.678186+00:00,1,,[article sweep] Listed as self-hosted phishing domain by affiliates
domain,xlkconsulting.co,high,2026-07-04T14:02:28.678186+00:00,2026-07-04T14:02:28.678186+00:00,1,,[article sweep] Listed among domains hosted by EvilTokens administrator
domain,api.jt2x.com,high,2026-07-04T11:37:25.401151+00:00,2026-07-04T11:37:26.678813+00:00,2,,Used for C2 operations and data exfiltration
domain,dealctr.com,high,2026-07-04T11:37:25.401151+00:00,2026-07-04T11:37:26.678813+00:00,2,,Documented as a C2 domain in GhostPoster investigation
domain,gmzdaily.com,high,2026-07-04T11:37:25.401151+00:00,2026-07-04T11:37:26.678813+00:00,2,,New domain identified in connection with malicious activity
domain,jt2x.com,high,2026-07-04T11:37:25.401151+00:00,2026-07-04T11:37:26.678813+00:00,2,,Part of infrastructure used for C2 operations
domain,liveupdt.com,high,2026-07-04T11:37:25.401151+00:00,2026-07-04T11:37:26.678813+00:00,2,,Documented as a C2 domain in GhostPoster investigation
domain,muo.cc,high,2026-07-04T11:37:25.401151+00:00,2026-07-04T11:37:26.678813+00:00,2,,Identified as part of a cluster with malicious operational patterns
domain,zhuayuya.com,high,2026-07-04T11:37:25.401151+00:00,2026-07-04T11:37:26.678813+00:00,2,,Part of a cluster used for C2 operations
domain,kav-certificates.info,high,2026-07-03T16:30:32+00:00,2026-07-03T16:30:32+00:00,1,,[article sweep] Listed in a YARA rule as an IOC domain
domain,lab52.io,high,2026-07-03T16:30:32+00:00,2026-07-03T16:30:32+00:00,1,,[article sweep] Listed in a YARA rule as an IOC domain
domain,cloaked.gg,high,2026-06-25T21:18:08+00:00,2026-07-01T07:02:22+00:00,3,,"Identified as a service for avoiding security scanners, associated with a phishing kit."
domain,de-fra.i3storage.com,high,2026-06-30T19:16:50.055525+00:00,2026-06-30T19:16:50.055525+00:00,1,,Identified as primary exfiltration destination
domain,cdnexpress.cc,high,2026-06-25T16:51:35+00:00,2026-06-25T16:51:35+00:00,1,,Traffic involving cdnexpress.cc indicates potential attacker-controlled infrastructure.
domain,cloudaxis.cc,high,2026-06-25T16:51:35+00:00,2026-06-25T16:51:35+00:00,1,,Traffic involving cloudaxis.cc indicates potential attacker-controlled infrastructure.
domain,putdrive.com,high,2026-06-24T19:05:05.454476+00:00,2026-06-24T19:05:05.454476+00:00,1,,Hosted malicious payloads used by Sandworm Team
domain,gs.thc.org,high,2026-06-24T06:47:16.754750+00:00,2026-06-24T06:47:16.754750+00:00,1,,"Part of the GSRN relay infrastructure, indicating attacker-controlled domain"
domain,market0day.com,high,2026-06-23T14:36:29+00:00,2026-06-23T23:36:47+00:00,2,,Identified as an illicit online marketplace selling compromised credentials and phishing kits.
domain,spoxy.us,high,2026-06-23T14:36:29+00:00,2026-06-23T23:36:47+00:00,2,,Identified as an illicit online marketplace selling compromised credentials and phishing kits.
domain,meeting-invite.com,high,2026-06-20T23:51:07+00:00,2026-06-20T23:51:07+00:00,1,,[article sweep] Described as part of an attack chain involving phishing
domain,tracksystem.info,high,2026-06-19T11:34:11.606269+00:00,2026-06-19T11:34:11.606269+00:00,1,,Clearly associated with Circles and indicated as part of their infrastructure.
domain,random-site-login.xyz,high,2026-06-18T22:02:03+00:00,2026-06-18T22:02:03+00:00,1,,[article sweep] Described as a phishing link with mismatched URL
domain,fresicrto.top,high,2026-06-18T16:36:35.205418+00:00,2026-06-18T16:36:35.205418+00:00,1,,Configured as fallback domain for C2 endpoint in SmartApeSG campaign
domain,killav.at,high,2026-06-18T10:47:51+00:00,2026-06-18T10:47:51+00:00,1,,Identified as malware delivery domain associated with Gentlemen ransomware
domain,killav.de,high,2026-06-18T10:47:51+00:00,2026-06-18T10:47:51+00:00,1,,Identified as malware delivery domain associated with Gentlemen ransomware
domain,celuweb.com,high,2026-06-16T20:48:43.845389+00:00,2026-06-16T20:48:43.845389+00:00,1,,[article sweep] Described as attacker-controlled host in phishing context
domain,tidio.cc,high,2026-06-15T17:00:00+00:00,2026-06-16T11:10:17+00:00,3,,"Identified as a lookalike domain used to send credentials, indicating attacker control."
domain,models.litellm.cloud,high,2026-03-24T14:59:33+00:00,2026-06-12T23:17:20.425409+00:00,6,,Exfiltration domain registered by the attacker.
domain,fortuneprimeglobalirts.com,high,2026-06-12T22:15:35.468182+00:00,2026-06-12T22:15:35.468182+00:00,1,,Domain associated with fraudulent investment platform
domain,azurenetfiles.net,high,2026-06-11T14:00:00+00:00,2026-06-12T09:05:14+00:00,2,,Identified as C2 server mimicking legitimate Microsoft Azure endpoints
domain,attacker.com,high,2026-02-09T20:21:27+00:00,2026-06-12T03:18:25.738337+00:00,4,,Clearly identified as attacker-controlled infrastructure.
domain,docs.splunk.com.evil.com,high,2026-06-12T03:18:19.719231+00:00,2026-06-12T03:18:19.719231+00:00,1,,Clearly identified as attacker-controlled subdomain.
domain,deliverly.top,high,2026-06-11T20:13:22+00:00,2026-06-11T20:13:22+00:00,1,,Identified as a domain utilized by administrators to register fraudulent accounts.
domain,inboxly.top,high,2026-06-11T20:13:22+00:00,2026-06-11T20:13:22+00:00,1,,Identified as a domain utilized by administrators to register fraudulent accounts.
domain,shampobiskworld.nl,high,2026-06-11T14:17:50.213284+00:00,2026-06-11T14:17:50.213284+00:00,1,,[article sweep] Listed as part of a C2 server list for a RAT
domain,shampoolagtto.com,high,2026-06-11T14:17:50.213284+00:00,2026-06-11T14:17:50.213284+00:00,1,,[article sweep] Listed as part of a C2 server list for a RAT
domain,shamppocosmaticso.com,high,2026-06-11T14:17:50.213284+00:00,2026-06-11T14:17:50.213284+00:00,1,,[article sweep] Listed as part of a C2 server list for a RAT
domain,advinservers.com,high,2026-06-08T09:02:41.732432+00:00,2026-06-08T09:02:41.732432+00:00,1,,Notified as the hosting provider for the C2 IP
domain,demo.business-data-leaks.com,high,2026-06-07T15:03:07.365786+00:00,2026-06-07T15:03:07.365786+00:00,1,,Mentioned as infrastructure for data leaks.
domain,ep6pheij.com,high,2026-06-07T15:03:07.365786+00:00,2026-06-07T15:03:07.365786+00:00,1,,Mentioned as a mechanism for stolen data.
domain,help.business-data-leaks.com,high,2026-06-07T15:03:07.365786+00:00,2026-06-07T15:03:07.365786+00:00,1,,Mentioned as infrastructure for data leaks.
domain,heopldenticalderr.org,high,2026-06-07T15:03:07.365786+00:00,2026-06-07T15:03:07.365786+00:00,1,,Used for Fast Flux communications.
