type,value,confidence,first_seen,last_seen,source_count,sources,reason
ipv4,192.162.199.149,high,2026-08-28T03:24:16+00:00,2026-08-28T03:24:16+00:00,1,,[article sweep] IP address associated with malware file hosting
ipv4,1.32.216.171,high,2026-08-26T20:18:54.083342+00:00,2026-08-27T17:12:48.782680+00:00,1,,Mapped to Fast Labyrinth admin plane
ipv4,154.64.238.222,high,2026-08-26T20:18:54.083342+00:00,2026-08-27T17:12:48.782680+00:00,1,,Mapped to QScan broker
ipv4,154.64.238.247,high,2026-08-26T20:18:54.083342+00:00,2026-08-27T17:12:48.782680+00:00,1,,Mapped to QScan backend
ipv4,8.148.149.147,high,2026-08-26T20:18:54.083342+00:00,2026-08-27T17:12:48.782680+00:00,1,,Mapped to active operational jump box
ipv4,112.90.22.197,high,2026-08-27T09:18:43.223353+00:00,2026-08-27T09:18:43.223353+00:00,1,,[article sweep] Listed as a C&C server for a backdoor
ipv4,112.90.252.76,high,2026-08-27T09:18:43.223353+00:00,2026-08-27T09:18:43.223353+00:00,1,,[article sweep] Listed as a C&C server for a backdoor
ipv4,116.10.189.246,high,2026-08-27T09:18:43.223353+00:00,2026-08-27T09:18:43.223353+00:00,1,,[article sweep] Listed as a C&C server for a Trojan
ipv4,121.12.110.96,high,2026-08-27T09:18:43.223353+00:00,2026-08-27T09:18:43.223353+00:00,1,,[article sweep] Listed as a C&C server for a Trojan
ipv4,202.103.178.76,high,2026-08-27T09:18:43.223353+00:00,2026-08-27T09:18:43.223353+00:00,1,,[article sweep] Decrypted as a C&C server IP address by a backdoor
ipv4,67.213.118.179,high,2026-08-25T19:04:41.630110+00:00,2026-08-25T19:04:41.630110+00:00,1,,[article sweep] Used in exploitation attempts against Oracle WebLogic Server
ipv4,102.91.71.83,high,2026-08-25T15:50:04+00:00,2026-08-25T15:50:04+00:00,1,,Listed as a scanning IP used to detect exploit attempts
ipv4,103.236.54.207,high,2026-08-19T19:56:48+00:00,2026-08-19T19:56:48+00:00,1,,[article sweep] Used as a staging server by the attacker
ipv4,196.251.84.11,high,2026-08-19T09:52:51+00:00,2026-08-19T09:52:51+00:00,1,,Identified as active C2 server for Spyroid-based malware.
ipv4,85.206.161.241,high,2026-08-17T13:59:31+00:00,2026-08-17T13:59:31+00:00,1,,[article sweep] IP address used for direct C2 communication via WebSocket
ipv4,45.192.12.34,high,2026-08-13T21:19:45+00:00,2026-08-13T21:19:45+00:00,1,,[article sweep] Identified as a C2 server in malware configuration
ipv4,108.187.42.63,high,2026-08-13T12:20:26+00:00,2026-08-13T20:36:50.388033+00:00,2,,Identified as C2 server responding to requests.
ipv4,46.30.188.13,high,2026-08-13T12:20:26+00:00,2026-08-13T12:20:26+00:00,1,,Identified as C2 server responding to requests.
ipv4,131.226.2.6,high,2026-08-12T14:35:21+00:00,2026-08-12T14:35:21+00:00,1,,[article sweep] Listed as a known malicious IP in a threat report
ipv4,188.130.206.168,high,2026-08-12T14:35:21+00:00,2026-08-12T14:35:21+00:00,1,,[article sweep] Known malicious IP used in SharePoint exploitation
ipv4,65.38.121.198,high,2026-08-12T14:35:21+00:00,2026-08-12T14:35:21+00:00,1,,[article sweep] Listed as a known malicious IP in SharePoint exploitation
ipv4,166.88.134.62,high,2026-08-11T13:21:16.792531+00:00,2026-08-11T13:21:16.792531+00:00,1,,[article sweep] Decoded C2 IP address from a transaction
ipv4,74.65.75.102,high,2026-08-11T10:00:19+00:00,2026-08-11T10:00:19+00:00,1,,Explicitly mentioned in response context.
