type,value,confidence,first_seen,last_seen,source_count,sources,reason
ipv4,75.3.231.105,high,2026-09-03T23:53:06+00:00,2026-09-03T23:53:06+00:00,1,Aws.Amazon:2026-09-03,[article sweep] Listed as the source IP for a threat actor's AWS Management Console login.
ipv4,144.31.53.78,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed as a network indicator in the article
ipv4,178.16.54.253,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed as a network indicator in the article
ipv4,193.58.122.42,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed as a network indicator in the article
ipv4,198.13.159.44,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed as a network indicator in the article
ipv4,199.91.221.42,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed as a network indicator in the article
ipv4,45.158.196.23,high,2026-09-03T10:18:27+00:00,2026-09-03T11:31:50.519345+00:00,2,www.security.com:2026-09-03|Security:2026-09-03,Listed as a network indicator in the article
ipv4,185.254.222.105,high,2026-09-01T00:33:21+00:00,2026-09-03T02:00:03+00:00,1,Isc.Sans.Edu:2026-09-03,IP address used as a source for malicious email activity
ipv4,176.65.148.184,high,2026-09-01T22:29:26+00:00,2026-09-02T13:19:54+00:00,3,Helpnetsecurity:2026-09-02|Thehackernews:2026-09-02|Horizon3.Ai:2026-09-01,[article sweep] Identified as the attacker's IP used in a honeypot exploitation attempt
ipv4,206.238.196.96,high,2026-09-01T19:09:37+00:00,2026-09-01T19:09:37+00:00,1,Socprime:2026-09-01,Explicitly identified as a hardcoded C2 IP for the PackClient RAT.
ipv4,31.58.209.241,high,2026-08-30T20:09:53+00:00,2026-08-30T20:09:53+00:00,1,Pasqualepillitteri.It:2026-08-30,IP address hosting stolen data and offensive tools
ipv4,192.162.199.149,high,2026-08-28T03:24:16+00:00,2026-08-28T03:24:16+00:00,1,Cyfirma:2026-08-28,[article sweep] IP address associated with malware file hosting
ipv4,1.32.216.171,high,2026-08-27T17:12:48.782680+00:00,2026-08-27T17:12:48.782680+00:00,1,www.lumen.com:2026-08-27,Mapped to Fast Labyrinth admin plane
ipv4,154.64.238.222,high,2026-08-27T17:12:48.782680+00:00,2026-08-27T17:12:48.782680+00:00,1,www.lumen.com:2026-08-27,Mapped to QScan broker
ipv4,154.64.238.247,high,2026-08-27T17:12:48.782680+00:00,2026-08-27T17:12:48.782680+00:00,1,www.lumen.com:2026-08-27,Mapped to QScan backend
ipv4,8.148.149.147,high,2026-08-27T17:12:48.782680+00:00,2026-08-27T17:12:48.782680+00:00,1,www.lumen.com:2026-08-27,Mapped to active operational jump box
ipv4,112.90.22.197,high,2026-08-27T09:18:43.223353+00:00,2026-08-27T09:18:43.223353+00:00,1,securelist.com:2026-08-27,[article sweep] Listed as a C&C server for a backdoor
ipv4,112.90.252.76,high,2026-08-27T09:18:43.223353+00:00,2026-08-27T09:18:43.223353+00:00,1,securelist.com:2026-08-27,[article sweep] Listed as a C&C server for a backdoor
ipv4,116.10.189.246,high,2026-08-27T09:18:43.223353+00:00,2026-08-27T09:18:43.223353+00:00,1,securelist.com:2026-08-27,[article sweep] Listed as a C&C server for a Trojan
ipv4,121.12.110.96,high,2026-08-27T09:18:43.223353+00:00,2026-08-27T09:18:43.223353+00:00,1,securelist.com:2026-08-27,[article sweep] Listed as a C&C server for a Trojan
ipv4,202.103.178.76,high,2026-08-27T09:18:43.223353+00:00,2026-08-27T09:18:43.223353+00:00,1,securelist.com:2026-08-27,[article sweep] Decrypted as a C&C server IP address by a backdoor
ipv4,67.213.118.179,high,2026-08-25T19:04:41.630110+00:00,2026-08-25T19:04:41.630110+00:00,1,www.cloudsek.com:2026-08-25,[article sweep] Used in exploitation attempts against Oracle WebLogic Server
ipv4,102.91.71.83,high,2026-08-25T15:50:04+00:00,2026-08-25T15:50:04+00:00,1,Techtimes:2026-08-25,Listed as a scanning IP used to detect exploit attempts
ipv4,103.236.54.207,high,2026-08-19T19:56:48+00:00,2026-08-19T19:56:48+00:00,1,Cloudsek:2026-08-19,[article sweep] Used as a staging server by the attacker
ipv4,196.251.84.11,high,2026-08-19T09:52:51+00:00,2026-08-19T09:52:51+00:00,1,Group-Ib:2026-08-19,Identified as active C2 server for Spyroid-based malware.
